Northing Easting
5134066.66 1500371.95
5166675.9 1491968.91
5153552.22 1522701.19
5337083 1504923
5375161 1482791
5417272 1521891
5453573.47 1810149.4425
5532911.7752 1911703.7955
5577632.977 1910907.2335
5531947.8418 1907688.6239
5565531.2882 1886618.0946
5571356.1633 1908843.0735
5567015.9296 1905523.2869
5009006.4 1375007.7
4950893.1 1312557.2
5003607.6 1300502.7
4981491.2 1317481.7
4997655.3 1372417.3
4999347.9 1331984
4957077.7997 1311723.9359
5149225.753 1592761.343
5149064 1592642
5180283.159 1575758.707
5171406.706 1578211.695
5148117.832 1595979.195
5170293.431 1577408.465
5155891.749 1595169.401
5169917 1571880
4871781 1348499
4887123 1365065
4851196 1344295
4868225 1356596
4901059 1376530
4876880 1321451
4909610 1342577
4872402 1352360
4915443 1309328
4905792 1308958
4858671 1352186
4945693.018 1417546.002
4934307.731 1412751.167
4938793.825 1415062.905
4956618.507 1376286.969
4913495.821 1408957.463
4912281.81 1398925.103
4916744.19 1392780.46
6108300 1614547
6124297 1641899
6129562 1649290
6115580 1669780
6079466 1674525
6114496 1620595
6085550 1697850
6100507 1687261
6097950 1693350
6141700 1633600
6082749 1648612
6069420 1635620
6140319 1626936
6080822 1645520
6096527 1703384
5708418.6015 2035429.8683
5730909.407 2025532.4492
4884959.73 1286616.42
4873020.52 1279985.14
4906044.45 1290734.93
5307096 1469160
5305657 1456230
5299761 1452198
5298425 1451958
5285762.15 1474595.17
5294990 1450451
5285628 1474516
5821681.72 1689419.5
5642950.9 1942145.59
5610520 1938038
5869338 1856968
5863094 1835818
5855573 1850663
5868821 1824733
5874804 1828405
5876746 1812574
5870233 1820875
5515895.595 1791943.825
5516439.304 1811942.716
5519464.834 1789435.47
5501036.348 1791263.359
5509620.283 1803330.614
5506974.382 1786456.272
5290101.5618 1584654.287
5248216.0717 1571725.1969
5219264.3369 1581051.1867
5259997.0887 1621474.0237
5243175.146 1597290.2022
5234210.8148 1606149.5534
5244098.4455 1575979.3952
4837607.279 1236639.918
4845401.427 1243376.047
4828789.851 1241396.379
5309275.5188 1656571.7697
6003610.5037 1742302.4961
6006917.19 1677300.2322
6023392 1680654
6003122.1511 1723318.975
5997373.7328 1729375.6121
